,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,exposure_categorymap,wri_categorymap
68,Niederlande,Very High,Medium,Very Low,Very Low,-2.164641258329291,29.24,-1.4922854820303133,-1.8256606033813103,-1.7932763253641455,-0.4575740527150598,2011.0,0.0023039166583191,1,1,2,2
172,Katar,Very Low,Very Low,Very Low,Very Low,-2.1622569748421387,0.05,-0.9835716440689154,-1.7661733452743815,-1.074866279433549,0.0679466845911479,2011.0,0.0023039166583191,1,1,1,1
173,Vanuatu,Very High,Very High,High,High,3.819910294421252,63.66,0.9171839715793692,0.6932529820839519,1.0162201042572947,0.7647970666617617,2013.0,0.8655714715015526,4,4,2,4
174,Tonga,Very High,Very High,Medium,Medium,1.333102617322122,55.27,0.4378855596225419,0.0295982588285285,0.5901705375446946,0.5028603982238715,2013.0,0.5596514073925674,3,3,2,4
175,Philippinen,Very High,Very High,Medium,High,0.8228659510716774,52.46,0.2406291734742446,0.0900150053433778,0.6921253466946189,-0.2376460952530574,2013.0,0.4997495742762696,3,4,2,4
176,Guatemala,Very High,Very High,High,High,0.6023197285101531,36.3,1.2147988699785548,1.735209487363125,0.7414147577406093,1.027557435314865,2013.0,0.3782430131223079,4,4,2,4
177,Bangladesch,Very High,Very High,High,High,0.5951668780486985,31.7,0.2968645467182765,-0.1191198864387933,0.4078672364156896,0.4559094859567025,2013.0,0.4558749874787138,4,4,2,4
178,Salomonen,Very High,Very High,High,High,0.3150135683083841,29.98,1.7036140374074484,2.5066848659373564,0.8426943694789453,1.6173267894077257,2013.0,0.3105278974256235,4,4,2,4
179,Costa Rica,Very High,Very High,Low,Low,0.2816335994882619,42.61,0.5148847629874473,0.4060410640364364,0.677271003639663,0.2845798411922964,2013.0,0.3851547630972653,2,2,2,4
180,Kambodscha,Very High,Very High,High,High,0.0694323691317684,27.65,-1.0242341447222922,-1.2837688615635066,-0.662995858364316,-0.9789762889451996,2013.0,0.5274967444655915,4,4,2,4
181,El Salvador,Very High,Very High,Medium,Medium,-0.1022360419431477,32.6,0.9068020565189326,0.4748232062225729,0.9210172692232582,1.046502540264776,2013.0,0.2995091655814885,3,3,2,4
184,Brunei Darussalam,Very High,Very High,Low,Very Low,-0.258406610351578,41.1,1.0097560475349296,1.1487023019651246,0.9932633922632716,0.6552449380383676,2013.0,0.2712611439447059,2,1,2,4
185,Mauritius,Very High,Very High,Low,Low,-0.2607908938387296,37.35,1.0391714735395006,1.543734875331448,0.4976684921570141,0.9921383260606852,2013.0,0.2695582490233397,2,2,2,4
186,Nicaragua,Very High,Very High,High,High,-0.2727123112744878,27.23,0.0087664037911584,-0.2771329157853226,0.3065876246773537,-0.1033829601732581,2013.0,0.3346689371932285,4,4,2,4
187,Japan,Very High,Very High,Very Low,Low,-0.3358958236840054,45.91,0.9448690784072004,1.2109780252958158,0.7623458774998655,0.6947825483686149,2013.0,0.2636482019433036,1,2,2,4
188,Fidschi,Very High,Very High,Medium,Medium,-0.4729921241952231,27.71,-0.7958320133926851,-1.0151467116744066,-0.8142400785602312,-0.3809699327002045,2013.0,0.3723329660422718,3,3,2,4
191,Chile,Very High,Very High,Low,Low,-0.8532853403959049,30.95,-2.0537740548822647,-1.0235121073456934,-2.223377076546279,-2.2474746203739766,2013.0,0.4657918461384353,2,2,2,4
218,Niederlande,Very High,High,Very Low,Very Low,,30.57,,,,,2013.0,,1,1,2,3
345,Katar,Very Low,Very Low,Very Low,Very Low,,0.28,,,,,2013.0,,1,1,1,1
346,Vanuatu,Very High,Very High,High,High,,63.66,,,,,2015.0,,4,4,2,4
347,Tonga,Very High,Very High,Medium,Medium,,55.27,,,,,2015.0,,3,3,2,4
348,Philippinen,Very High,Very High,High,High,,52.46,,,,,2015.0,,4,4,2,4
349,Guatemala,Very High,Very High,High,High,,36.3,,,,,2015.0,,4,4,2,4
350,Salomonen,Very High,Very High,Very High,High,,29.98,,,,,2015.0,,5,4,2,4
351,Bangladesch,Very High,Very High,High,High,,31.7,,,,,2015.0,,4,4,2,4
352,Costa Rica,Very High,Very High,Low,Medium,,42.61,,,,,2015.0,,2,3,2,4
353,Kambodscha,Very High,Very High,High,High,,27.65,,,,,2015.0,,4,4,2,4
355,El Salvador,Very High,Very High,Medium,High,,32.6,,,,,2015.0,,3,4,2,4
